country_name,year,co2_pct_change,co2_per_capita_pct_change,coal_co2_pct_change,gas_co2_pct_change,oil_co2_pct_change,gdp_pct_change,renewable_capacity_mw_pct_change,net_imports_gwh_pct_change,elec_price_eur_kwh_pct_change,elec_gen_clean_twh_pct_change,elec_gen_fossil_twh_pct_change,elec_gen_hydro_twh_pct_change,elec_gen_nuclear_twh_pct_change,elec_gen_renewables_twh_pct_change,elec_gen_solar_twh_pct_change,elec_gen_wind_twh_pct_change,elec_gen_total_twh_pct_change,carbon_price_eur_tonne_pct_change
Austria,2010,,,,,,,,,,,,,,,,,,
Austria,2011,-2.9277777777777847,-3.253166027651899,2.071368651997152,-5.580999041431456,-4.358200373724297,3.211386333961297,,-7.649538083011642,1.385681293302543,-9.068681929317634,-6.7455102934735,-10.740354535974973,,-9.068681929317634,88.8888888888889,-5.82524271844661,,-9.109874826147434
Austria,2012,-3.7658101070222494,-4.2031944277651,-7.156404096598812,-4.427523970671176,-1.9297243680302834,0.6804580269670124,,6.786917610408172,1.214882308276377,25.4705450989978,-18.647252231094402,28.066588785046733,,25.4705450989978,100.0,26.8041237113402,,-43.917368018362666
Austria,2013,0.7418971156705201,0.150432493418573,1.8589132507149664,-3.617586308645615,2.522450730989667,0.02550347898711003,,-7.222262830171234,2.525631407851958,-1.6169881161114286,-18.879907621247106,-4.173318129988591,,-1.6169881161114286,85.29411764705881,28.04878048780488,,-39.2905866302865
Austria,2014,-5.3129473575465935,-6.045812992865185,-7.741159168393608,-8.480284104824898,-3.1001494768311044,0.6612797730310982,,-1.0052617913682504,-2.2439024390243922,-0.5940594059405835,-19.217081850533813,-2.403617325083307,,-0.5940594059405835,25.396825396825395,22.222222222222232,,33.932584269662925
Austria,2015,3.4274224972334233,2.278177458033559,4.130135497427734,6.817421556165115,1.795575849196318,1.0144789831802337,,-8.921581494923847,-0.39920159680638667,-5.199203187250989,25.022026431718068,-9.387954157522561,,-5.199203187250989,18.98734177215189,25.71428571428571,,28.859060402684555
Austria,2016,1.2975074595376501,0.2084147453432328,-7.215920951917065,4.829011649755732,3.3732383694499157,1.9894742118178543,,3.8812181934878565,1.3026052104208263,7.333473418785452,-2.8188865398167784,7.561894510226064,,7.333473418785452,17.021276595744705,8.057851239669422,,-30.338541666666675
Austria,2017,3.5436409348547304,2.82074613284804,5.167241637918107,7.396785564916075,1.284156209686893,2.258547787824594,,7.980964840024041,-2.8684470820969366,-0.05873140172278912,16.316171138506164,-4.203152364273199,,-0.05873140172278912,15.454545454545453,25.621414913957928,,8.971962616822449
Austria,2018,-4.359132771080887,-4.816687737041725,-12.329743992013121,-5.3184979137691375,-1.328663231633176,2.425379451158771,,-13.256589883765846,1.272912423625261,-1.939275220372172,-8.915211970074811,-1.6975711674066307,,-1.939275220372172,14.960629921259837,-8.21917808219178,,172.38421955403086
Austria,2019,2.0791082668589533,1.620401115686021,5.783308931185949,4.536106704271714,0.002933669727456234,1.517391809518731,,1.9285593792172762,3.267973856209161,9.149021174590487,9.856262833675578,8.475026567481404,,9.149021174590487,16.43835616438356,23.548922056384747,,56.42317380352644
Austria,2020,-8.492884578593385,-8.900797281401129,-12.56439830834295,-4.676521836883818,-9.707228350152553,-6.453952810096464,,-12.352520127015776,4.13826679649465,1.427525622254766,-15.202492211838015,2.865540044085235,,1.427525622254766,19.999999999999996,-8.859060402684571,,-0.36231884057971175
Austria,2021,5.743004181408828,5.208034433285524,9.119690440594486,5.6842974231971155,4.519315117450207,4.556831310769005,,4.528269822391873,5.212716222533897,-4.817755322988093,2.2777369581190365,-7.738095238095233,,-4.817755322988093,36.27450980392155,-0.7363770250368162,,116.36363636363636
Austria,2022,-6.535261821112992,-7.541251875085231,-6.0041908446163745,-10.907772136361093,-4.563257693503264,4.996962007933181,,-4.29618440742372,2.62163963563653,-4.436018957345977,1.0057471264367956,-10.63225806451612,,-4.436018957345977,36.33093525179858,7.41839762611276,,51.01774042950515
Austria,2023,-7.395775702151209,-8.067846607669626,-4.432821743976678,-14.616733466933862,-4.318936877076418,,,-2.3342618307081286,16.930071444035512,19.34140051577069,-23.044096728307252,17.441524689575516,,19.34140051577069,81.79419525065963,11.049723756906072,,5.477927538023986
Belgium,2010,,,,,,,,,,,,,,,,,,
Belgium,2011,-8.208583923256196,-9.059665871121714,-4.775761725436489,-14.296338530950193,-5.733779054991883,2.3519238108373086,,-3.0311991719651044,8.187134502923987,3.8158136121812625,-15.157020503503771,-35.48387096774193,0.604922820191911,27.245053272450527,108.62068965517241,78.46153846153845,,-9.109874826147434
Belgium,2012,-2.5418651755912514,-3.13877808104136,-9.653064893043329,0.9805623047552947,-2.2542513479883786,0.7392151602968688,,-8.996645318694728,6.9330199764982,-10.231489662484549,-6.056898133985921,79.99999999999999,-16.462782500518347,25.717703349282296,77.68595041322315,18.965517241379317,,-43.917368018362666
Belgium,2013,0.32199519934430487,-0.1517286225208747,1.2667462528186846,1.0340580332846239,0.20367895105339873,0.45924497033766887,,1.70911528150135,-3.5604395604395656,7.007874015748028,-10.159557147508957,5.555555555555558,5.832712831968223,11.51284490960991,22.790697674418613,32.97101449275364,,-39.2905866302865
Belgium,2014,-5.577925614690315,-6.002387930098763,-3.5627742484773073,-12.1257654797006,-1.9394863325499112,1.5785318791810887,,-2.388797364085671,-5.651777575205063,-15.54451802796174,-8.336353751359194,-23.684210526315795,-20.966228893058158,4.180887372013653,9.469696969696972,25.88555858310628,,33.932584269662925
Belgium,2015,4.3736673499448875,3.7759815242494277,-2.336162988115442,9.088562671398591,4.154341113726168,2.0414641725429616,,-16.95021097046414,8.164251207729478,-11.696798083206271,10.280743376828783,10.344827586206918,-22.55192878338279,18.263718263718243,5.882352941176472,20.56277056277056,,28.859060402684555
Belgium,2016,-1.4912116217789873,-1.9917658840547525,-6.293025519783047,1.6473441381757992,-2.307357422725298,1.2666806259026941,,-10.069705529701057,18.110763733809755,42.501233349778,-4.840444603800654,15.625,66.7432950191571,-1.3157894736842035,1.3071895424836555,-2.6929982046678735,,-30.338541666666675
Belgium,2017,-0.5349843712430968,-0.9196185286103442,-1.6993173048382326,1.9232447845442202,-1.837704778881244,1.6195835072339237,,-2.3614751875621454,8.413688788050667,0.4500605850787487,2.9012810851544835,-27.027027027027017,-2.964154411764719,10.877192982456151,6.774193548387086,20.295202952029513,,8.971962616822449
