cohort,year,co2_per_capita,elec_price_eur_kwh,renewable_capacity_mw
High Intensity,2010,12.121111111111112,0.18081111111111112,
High Intensity,2011,11.43588888888889,0.1919,
High Intensity,2012,10.938,0.20004999999999998,
High Intensity,2013,10.916888888888888,0.20643888888888887,
High Intensity,2014,10.307333333333334,0.2040722222222222,
High Intensity,2015,9.908,0.20666111111111107,
High Intensity,2016,10.054777777777778,0.20581111111111108,
High Intensity,2017,9.959666666666667,0.20891111111111108,
High Intensity,2018,9.83,0.21722777777777777,
High Intensity,2019,8.997444444444445,0.22262222222222222,
High Intensity,2020,7.836,0.21477777777777776,
High Intensity,2021,8.18211111111111,0.22923333333333332,
High Intensity,2022,7.803888888888888,0.27576111111111107,
High Intensity,2023,6.898666666666667,0.3114,
Low Intensity,2010,5.043111111111111,0.14105555555555555,
Low Intensity,2011,4.946111111111112,0.15097222222222217,
Low Intensity,2012,4.7973333333333334,0.15937222222222222,
Low Intensity,2013,4.559888888888889,0.1640222222222222,
Low Intensity,2014,4.459333333333333,0.16053333333333333,
Low Intensity,2015,4.604111111111111,0.16474444444444444,
Low Intensity,2016,4.58,0.16343333333333332,
Low Intensity,2017,4.738666666666666,0.1610222222222222,
Low Intensity,2018,4.677444444444444,0.16479999999999997,
Low Intensity,2019,4.552111111111111,0.16846111111111106,
Low Intensity,2020,4.188666666666666,0.16515000000000002,
Low Intensity,2021,4.357777777777778,0.17751666666666666,
Low Intensity,2022,4.201222222222222,0.21928333333333333,
Low Intensity,2023,3.9987777777777773,0.2157055555555555,
Medium Intensity,2010,7.593,0.15390555555555555,
Medium Intensity,2011,7.528222222222222,0.16176666666666667,
Medium Intensity,2012,7.226333333333334,0.17526666666666663,
Medium Intensity,2013,6.7748888888888885,0.17741666666666664,
Medium Intensity,2014,6.552222222222222,0.16978333333333331,
Medium Intensity,2015,6.439444444444444,0.16518333333333335,
Medium Intensity,2016,6.386111111111111,0.1586111111111111,
Medium Intensity,2017,6.578444444444445,0.15955555555555556,
Medium Intensity,2018,6.402666666666667,0.16256111111111105,
Medium Intensity,2019,6.189555555555556,0.16702777777777775,
Medium Intensity,2020,5.625666666666667,0.1661333333333333,
Medium Intensity,2021,6.029,0.17532777777777778,
Medium Intensity,2022,5.950666666666667,0.2038777777777777,
Medium Intensity,2023,5.427666666666666,0.22790555555555553,
